Site_plot,2015 mean height (cm),2015 mean crown base height (cm),2015 crown length (cm),2015 basal area (m2/ha),2016 mean height (cm),2016 mean crown base height (cm),2016 crown length (cm),2016 basal area (m2/ha),2017 mean height (cm),2017 mean crown base height (cm),2017 crown length (cm),2017 basal area (m2/ha),2018 mean height (cm),2018 mean crown base height (cm),2018 crown length (cm),2018 basal area (m2/ha),2019 mean height (cm),2019 mean crown base height (cm),2019 crown length (cm),2019 basal area (m2/ha),2020 mean height (cm),2020 mean crown base height (cm),2020 crown length (cm),2020 basal area (m2/ha)
A_C32,674.1388889,190.5833333,483.5555556,29.43669044,687.3333333,213,474.3333333,33.72182282,736.4722222,241.8333333,494.6388889,40.48086124,714.3055556,281.2222222,433.0833333,47.69287805,692.9166667,360.2777778,332.6388889,52.45229274,605.1111111,216.4722222,388.6388889,45.35883833
A_E31,179.4166667,27.52777778,151.8888889,5.340347537,218.2777778,37.94444444,180.3333333,6.149086752,271.2777778,43.08333333,228.1944444,9.303564844,311.2222222,44.91666667,266.3055556,11.75387621,364.75,68.47222222,296.2777778,16.58004975,390.5555556,80.75,309.8055556,19.71535922
A_E33,277.9166667,29.52777778,248.3888889,13.53149406,298.4305556,54.33333333,244.0972222,16.80352826,368.5277778,43.63888889,324.8888889,22.46042398,439.5833333,82.58333333,357,28.94797643,466.5555556,118.25,348.3055556,37.92635371,535.1666667,83.27777778,451.8888889,42.72402384
A_E34,547.7777778,168.8055556,378.9722222,20.76959263,557.6111111,158.6944444,398.9166667,19.58292146,417.9444444,59.13888889,358.8055556,19.94217567,289.1944444,60.5,228.6944444,16.85817888,218.6111111,54.30555556,164.3055556,16.59637949,132.5277778,27.19444444,105.3333333,12.12628584
A_F21,143.2777778,25.08333333,118.1944444,3.202362836,158.7638889,32.73611111,126.0277778,4.83422387,193.2844477,38.9980169,154.2864308,5.675382972,232.124451,54.06547824,178.0589727,8.405234422,256.7222222,61,195.7222222,12.5310277,269.8333333,67.19444444,202.6388889,13.48443562
A_F27,309.25,82.58333333,226.6666667,16.95105221,347.75,116,231.75,18.74182547,379.9444444,182.6666667,197.2777778,27.497706,425.4444444,68.27777778,357.1666667,30.84860726,423.4166667,125.6111111,297.8055556,32.56339325,429.5833333,86.33333333,343.25,34.21822718
A_G24,154.0833333,77.61111111,76.47222222,3.01262373,167.0555556,74.44444444,92.61111111,3.354983698,186.3888889,81.55555556,104.8333333,4.003959837,189.5555556,79.75,109.8055556,4.595888253,185.2222222,104.6666667,80.55555556,5.219494395,189.0277778,66.86111111,122.1666667,5.69390761
A_G28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_H31,366.6388889,70.5,296.1388889,14.93248076,419.0138889,93.27777778,325.7361111,17.90433741,457.8611111,134.3611111,323.5,21.11556052,537.1666667,212.6944444,324.4722222,26.11599428,571.9722222,202.8194444,369.1527778,29.45779801,620.6666667,185.7777778,434.8888889,31.77930409
A_I27,170.1388889,36.97222222,133.1666667,13.00724078,187.2222222,49.51388889,137.7083333,14.69034905,183.1944444,57.38888889,125.8055556,16.45592412,201.2916667,60.65277778,140.6388889,19.9191046,196.1388889,48.63888889,147.5,20.76448754,197.4444444,58.02777778,139.4166667,20.65970234
A_I28,304.1111111,44.97222222,259.1388889,9.912968369,331.6111111,51.27777778,280.3333333,11.60317794,381.1388889,77.77777778,303.3611111,13.22008369,439.3611111,113.6944444,325.6666667,16.79587062,450.3888889,170.8333333,279.5555556,17.72198596,474.9722222,223.1111111,251.8611111,19.28244121
A_J21,221.6111111,63.47222222,158.1388889,7.105366285,245.5694444,74.94444444,170.625,9.005219898,265.1944444,64.77777778,200.4166667,13.77509839,272.4166667,69.97222222,202.4444444,16.4125636,269.5555556,58.41666667,211.1388889,20.97733045,257.9166667,73.86111111,184.0555556,22.70010132
A_K19,613.4166667,137.4722222,475.9444444,31.09914928,739.0277778,259.6388889,479.3888889,34.51648214,792.0833333,176.8888889,615.1944444,48.1086482,836.9722222,294.3888889,542.5833333,52.99434838,943.4166667,250.8333333,692.5833333,61.25529716,973.0277778,524.3055556,448.7222222,67.45994265
A_L10,48.16573842,4.403805892,43.76193253,2.941195703,57.26388889,8.694444444,48.56944444,5.172149612,59.11270136,6.656761905,52.45593945,7.932532911,64.60040271,11.64685714,52.95354557,5.93964223,77.61111111,18.52777778,59.08333333,14.21217247,83.72222222,18.16666667,65.55555556,17.71727357
A_L11,195.1111111,22.41666667,172.6944444,11.25361031,206.0416667,43.01388889,163.0277778,10.94357438,233.1666667,25.77777778,207.3888889,14.13337085,253.071316,50.03915882,203.0321572,17.06458008,287.3648542,66.24498431,221.1198699,19.42509454,305.8611111,46.91666667,258.9444444,21.50776873
A_L22,205.8611111,31.83333333,174.0277778,15.99067388,249,50,199,17.88361436,281.8611111,61.86111111,220,28.01489069,306.0555556,73.97222222,232.0833333,33.6335637,354.0555556,108.9722222,245.0833333,37.54281761,362,64.52777778,297.4722222,41.16720106
A_L20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
