year;month;tmp_celsius;tmn_celsius;tmx_celsius
1901;1;5.9;2.6;9.3
1901;2;4.1;-0.4;8.6
1901;3;9.6;4.9;14.4
1901;4;16.4;12.1;20.7
1901;5;20.4;16.1;24.8
1901;6;23.7;19.9;27.6
1901;7;27;22.9;31.1
1901;8;26.7;22.2;31.2
1901;9;22.6;17.6;27.7
1901;10;17.4;12.9;21.9
1901;11;11.4;5.8;17.1
1901;12;5.7;0.7;10.8
1902;1;5.5;0.6;10.4
1902;2;5.2;0.2;10.2
1902;3;11.2;6.8;15.7
1902;4;16.2;12.4;20
1902;5;20.8;16.7;24.9
1902;6;23.4;19.3;27.5
1902;7;26.9;22.4;31.5
1902;8;26.9;22.3;31.5
1902;9;22.4;17.5;27.4
1902;10;17.7;12.5;23
1902;11;12.9;7.9;18
1902;12;6.9;2.3;11.5
1903;1;4.1;-0.7;8.9
1903;2;5.1;0.7;9.6
1903;3;10.9;7.7;14.2
1903;4;16.1;12.2;20
1903;5;20;15.7;24.4
1903;6;23.5;19.7;27.3
1903;7;26.8;22.7;31
1903;8;26.5;22.1;31
1903;9;22.9;18;27.9
1903;10;17.5;12.8;22.2
1903;11;10.7;5.7;15.7
1903;12;5.7;-0.2;11.6
1904;1;4.1;-0.2;8.4
1904;2;6.4;2;10.9
1904;3;9.5;5.9;13.2
1904;4;16;12.1;19.9
1904;5;19.9;15.5;24.3
1904;6;23.5;19.6;27.4
1904;7;26.5;22.2;30.9
1904;8;26.5;21.7;31.3
1904;9;23.1;18.4;27.9
1904;10;17.7;13.2;22.2
1904;11;11;5.8;16.2
1904;12;5.4;0.6;10.3
1905;1;7;3;11.1
1905;2;3.9;1;6.8
1905;3;8.4;5.4;11.4
1905;4;14.1;10.6;17.7
1905;5;20.5;16.3;24.8
1905;6;24.5;20.3;28.8
1905;7;27.1;22.6;31.7
1905;8;27;22.8;31.3
1905;9;23.1;19;27.2
1905;10;17.6;13;22.3
1905;11;11.4;5.8;17
1905;12;7.4;3.7;11.1
1906;1;4.3;-0.2;8.8
1906;2;4.7;1.5;8
1906;3;9.6;5.4;13.9
1906;4;16.1;11.9;20.4
1906;5;20.6;16.5;24.7
1906;6;24.5;20.8;28.2
1906;7;27;22.4;31.6
1906;8;26.9;22.4;31.5
1906;9;23.5;20;27
1906;10;17.2;12.3;22.1
1906;11;10.4;6.1;14.7
1906;12;7.1;2.1;12.1
1907;1;5.8;1.4;10.2
1907;2;4.8;2.1;7.6
1907;3;9.2;5.3;13.2
1907;4;15.1;10.6;19.6
1907;5;20.5;15.4;25.6
1907;6;23.1;18.8;27.4
1907;7;25.4;21.2;29.6
1907;8;27.4;22.3;32.6
1907;9;22.9;18.6;27.3
1907;10;18.8;15.3;22.4
1907;11;12;7.8;16.2
1907;12;6.6;1.5;11.8
1908;1;5.4;1.5;9.4
1908;2;5.3;1.9;8.7
1908;3;9.3;4.9;13.7
1908;4;14.1;10.3;17.9
1908;5;20.3;15.2;25.4
1908;6;23.7;19.5;27.9
1908;7;27.1;22.9;31.3
1908;8;27.1;21.7;32.5
1908;9;23.4;18.6;28.2
1908;10;18.3;13.9;22.8
1908;11;11.4;6.1;16.8
1908;12;7.9;2.7;13.2
1909;1;4.7;1.4;8.1
1909;2;6.1;2;10.3
