PLOT_NO;TREE_R;TREE_CMP;ALTITUDE;EASTNESS;NORTHNESS;SLOPE;CURV_PR;CURV_PL
B34;16;A. davidii_C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_C. glauca_D. oldhamii_L. formosana_Q. acutissima_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. discolor_S. superba;129.62;0.991076502;-0.133294287;37.9;-86.9213;-29.711
B35;4;C. carlesii_C. eyrei_L. glaber_S. superba;126.86;0.981527147;-0.191322919;34.19;-41.3202;15.5218
B36/C36;1;D. oldhamii;115.39;0.996608722;0.082286421;28.77;11.4561;-36.0991
B38/C38;2;C. glauca_S. superba;118.15;0.952342586;-0.305030488;16.57;-61.1462;26.8857
C31;4;Ch. axillaris_D. oldhamii_D. glaucifolia_Q. serrata;151.35;-0.076196907;-0.99709279;28.11;4.28527;20.9539
C32;2;C. henryi_N. sinensis;136.46;0.009424692;-0.999955587;32.94;-27.8815;-21.2167
C33;2;C. henryi_N. sinensis;119.87;0.239211427;-0.970967504;35.83;-13.1438;-91.8428
C37;2;L. glaber_S. superba;113.12;0.928550621;0.371205797;25.95;-22.4317;17.3083
D31;8;C. carlesii_C. eyrei_C. sclerophylla_C. glauca_C. myrsinaefolia_L. glaber_Q. acutissima_S. superba;150.91;0.143838117;-0.989601231;26.59;2.11555;15.9071
D32;2;C. henryi_N. sinensis;137.45;-0.019022887;-0.999819049;30.48;-10.2289;13.1125
D33;2;C. henryi_N. sinensis;122.08;-0.167973188;-0.985791564;31.27;-6.96085;11.6298
E21;16;C. henryi_C. carlesii_C. eyrei_C. sclerophylla_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_D. glaucifolia_L. formosana_L. glaber_Q. fabri_Q. serrata_S. discolor_S. sebiferum_S. superba;211.18;0.998683792;0.051290191;37.05;16.111;-6.38001
E22;1;P. massoniana;211;0.99823983;-0.059306346;36.5;-38.0281;-7.28064
E23;2;R. chinensis_S. superba;209.61;0.999912028;-0.013264086;35.35;-15.8167;-10.3361
E24;1;L. formosana;212.59;0.954188115;0.299207355;30.71;-37.2889;-32.6025
E25;0;free succession;214.62;0.958172866;-0.286190074;20.63;-48.674;48.3869
