year,month,spei
2015,1,-1.06337043
2015,2,0.78842074
2015,3,-0.104262497
2015,4,-0.437211049
2015,5,0.772019081
2015,6,1.650763459
2015,7,1.760318777
2015,8,0.720189161
2015,9,0.420722787
2015,10,1.210390038
2015,11,2.284932274
2015,12,1.425130713
2016,1,1.379818552
2016,2,-1.460110289
2016,3,-1.690971054
2016,4,1.503536248
2016,5,0.775887101
2016,6,1.100104628
2016,7,0.84050962
2016,8,-1.390924485
2016,9,1.501600906
2016,10,1.105731049
2016,11,1.309383008
2016,12,0.025130771
2017,1,-0.687529135
2017,2,-1.336702579
2017,3,0.826849999
2017,4,-0.057029873
2017,5,-1.903764179
2017,6,1.959428565
2017,7,-1.034190049
2017,8,0.854024132
2017,9,-0.674312305
2017,10,0.119832908
2017,11,0.696370601
2017,12,-0.483242229
2018,1,0.747936832
2018,2,-1.257854077
2018,3,0.1201246
2018,4,0.286840147
2018,5,-0.809354864
2018,6,-1.45615703
2018,7,-0.563469257
2018,8,0.411118483
2018,9,-0.664249392
2018,10,0.137794319
2018,11,1.284484575
2018,12,1.651712052
2019,1,1.203438012
2019,2,1.897034143
2019,3,0.566306746
2019,4,-0.114403339
2019,5,-1.455952392
2019,6,0.107959394
2019,7,1.938499554
2019,8,-0.913458986
2019,9,-2.18750031
2019,10,-1.318032159
2019,11,-1.494077225
2019,12,0.619495151
2020,1,1.855524845
2020,2,-0.468992811
2020,3,0.451858553
2020,4,-1.783956727
2020,5,0.223954508
2020,6,1.373183884
2020,7,1.91204027
2020,8,-1.655774208
2020,9,1.832268678
2020,10,-0.182265199
2020,11,-0.269485912
2020,12,-0.59963996
